Date,"Antipiretico","Polmonite","Tonsillite","Pagina principale","Influenza"
2016-09-30,108,559,248,1220266,244
2016-10-01,92,573,203,1198535,292
2016-10-02,91,531,233,1210220,252
2016-10-03,121,643,245,1249138,294
2016-10-04,129,615,290,1250241,266
2016-10-05,128,571,245,1261334,309
2016-10-06,96,638,262,1280159,312
2016-10-07,99,598,226,1238656,233
2016-10-08,136,544,173,1231299,362
2016-10-09,110,599,186,1232914,325
2016-10-10,98,710,275,1244394,372
2016-10-11,113,667,256,1247589,330
2016-10-12,121,624,250,1224191,396
2016-10-13,104,593,291,1209498,314
2016-10-14,127,595,240,1220655,258
2016-10-15,95,509,205,1184626,264
2016-10-16,79,552,213,1183669,241
2016-10-17,119,708,315,1234158,332
2016-10-18,106,673,262,1225459,294
2016-10-19,108,655,297,1236313,261
2016-10-20,104,616,254,1222939,255
2016-10-21,88,576,240,1204272,267
2016-10-22,99,530,184,1158100,197
2016-10-23,106,550,230,1181041,166
2016-10-24,101,635,243,1226319,263
2016-10-25,102,717,320,1229949,251
2016-10-26,98,678,270,1223351,225
2016-10-27,95,613,285,1212465,295
2016-10-28,61,539,267,1196561,187
2016-10-29,76,461,210,1172379,193
2016-10-30,95,390,249,1135553,179
2016-10-31,84,517,219,1185174,190
2016-11-01,79,505,229,1182207,173
2016-11-02,96,578,256,1209018,289
2016-11-03,97,631,253,1207697,246
2016-11-04,111,482,287,1189879,261
2016-11-05,78,557,215,1176415,225
2016-11-06,89,558,234,1190186,240
2016-11-07,120,630,279,1220479,257
2016-11-08,87,656,234,1223189,288
2016-11-09,104,640,222,1225846,224
2016-11-10,113,614,247,1201043,254
2016-11-11,74,680,231,1196878,229
2016-11-12,82,563,218,1173827,219
2016-11-13,92,622,215,1188002,282
2016-11-14,81,682,272,1236884,231
2016-11-15,87,628,211,1225618,291
2016-11-16,74,609,256,1201275,279
2016-11-17,87,577,297,1207645,309
2016-11-18,86,621,236,1204669,246
2016-11-19,100,542,255,1180589,212
2016-11-20,86,571,286,1178298,218
2016-11-21,100,643,324,1230278,260
2016-11-22,95,683,336,1232026,297
2016-11-23,109,671,331,1229096,320
2016-11-24,91,706,342,1217868,238
2016-11-25,98,637,329,1207628,262
2016-11-26,101,578,237,1172554,212
2016-11-27,76,509,210,1175075,192
2016-11-28,103,2371,312,1224049,316
2016-11-29,98,739,302,1206944,266
2016-11-30,102,626,288,1219331,276
2016-12-01,72,621,257,1178447,363
2016-12-02,78,706,261,1172017,335
2016-12-03,87,600,248,1142953,271
2016-12-04,70,529,231,1166418,313
2016-12-05,86,630,293,1202807,335
2016-12-06,85,685,240,1184243,360
2016-12-07,90,569,244,1163238,274
2016-12-08,109,604,237,1150916,290
2016-12-09,111,673,325,1149726,362
2016-12-10,111,622,281,1116344,378
2016-12-11,112,686,289,1138451,371
2016-12-12,142,795,397,1187620,441
2016-12-13,95,768,297,1171407,449
2016-12-14,114,826,379,1172233,496
2016-12-15,124,827,339,1157737,377
2016-12-16,105,752,278,1137364,343
2016-12-17,91,682,257,1097046,376
2016-12-18,121,779,282,1103962,368
2016-12-19,123,870,308,1144681,528
2016-12-20,169,870,310,1150918,472
2016-12-21,142,956,312,1173686,507
2016-12-22,149,840,305,1176086,450
2016-12-23,145,796,290,1155337,428
2016-12-24,129,682,196,1112399,399
2016-12-25,166,957,208,1162892,492
2016-12-26,197,1306,299,1206004,569
2016-12-27,235,1151,397,1209850,753
2016-12-28,272,1163,389,1165694,878
2016-12-29,258,1225,416,1168077,762
2016-12-30,271,1100,370,1139449,638
2016-12-31,189,782,191,1091110,655
2017-01-01,191,947,255,1105009,552
2017-01-02,249,1266,340,1169080,811
2017-01-03,261,1394,399,1204818,855
2017-01-04,277,1334,411,1160904,791
2017-01-05,228,1304,362,1152462,768
2017-01-06,186,1085,262,1132418,690
2017-01-07,190,1034,249,1161065,609
2017-01-08,200,1087,290,1174725,645
2017-01-09,175,1342,372,1216598,671
2017-01-10,157,1306,356,1227367,584
2017-01-11,155,1209,315,1217772,624
2017-01-12,177,1164,333,1203782,718
2017-01-13,141,1145,320,1200335,566
2017-01-14,131,1018,318,1202116,534
2017-01-15,158,1042,327,1245345,536
2017-01-16,129,1106,360,1279372,507
2017-01-17,175,1121,390,1211666,588
2017-01-18,167,1011,324,1231770,520
2017-01-19,139,1099,344,1243688,487
2017-01-20,114,970,308,1195804,478
2017-01-21,105,858,251,1189786,419
2017-01-22,137,936,272,1197851,442
2017-01-23,125,1136,411,1241283,536
2017-01-24,137,1040,380,1188100,553
2017-01-25,134,994,326,1173772,432
2017-01-26,133,1112,310,1216172,427
2017-01-27,119,968,310,1177028,355
2017-01-28,125,891,269,1209086,368
2017-01-29,108,966,318,1211662,364
2017-01-30,133,1134,366,1237490,386
2017-01-31,127,1050,351,1200064,348
2017-02-01,119,1014,362,1160090,396
2017-02-02,130,979,368,1185181,395
2017-02-03,137,905,368,1165022,370
2017-02-04,103,810,309,1149649,321
2017-02-05,122,892,363,1192647,394
2017-02-06,144,1012,404,1227741,439
2017-02-07,202,959,406,1201284,301
2017-02-08,140,987,411,1177992,318
2017-02-09,141,958,422,1219235,375
2017-02-10,130,866,351,1334526,302
2017-02-11,143,812,300,1177999,254
2017-02-12,91,777,296,1306479,247
2017-02-13,105,978,360,1211301,305
2017-02-14,121,867,338,1242689,291
2017-02-15,121,940,362,1224758,312
2017-02-16,120,881,345,1185888,301
2017-02-17,85,920,371,1192403,321
2017-02-18,105,760,290,1157231,229
2017-02-19,114,734,350,1177916,241
2017-02-20,97,930,415,1206523,287
2017-02-21,110,950,401,1183350,277
